"Product name",Product description,Product link,Product unit price/piece,Product amount,"Product running total.
",extra info,total
 OLED module 0.91,blue OLED 128X32 OLED LCD LED Display Module 0.91,https://www.aliexpress.com/item/1005009624144115.html?spm=a2g0o.detail.0.0.3d5fN5sKN5sKRs&mp=1#nav-specification,"1,25",1,"1,25",,
 RP2040 Seeed XIAO Raspberry Pi,the microchip to wire and program everything together,https://www.aliexpress.com/item/1005008200917480.html?spm=a2g0o.detail.0.0.62dbEZu3EZu3oV&mp=1#nav-description,"5,61",1,"5,61",,
diode Do-35,diode to use the metrix,https://www.aliexpress.com/item/1005009522685446.html?spm=a2g0o.cart.0.0.119738dagwbWYj&mp=1,"0,0045",100,"0,45",couldent find a cheaper packet with 9,
EC11 Rotary Encoder,EC11 Rotary Encoder Module for Arduino Brick Sensor Development Round Audio Rotating Potentiometer Knob Cap,https://www.aliexpress.com/item/1005010108347105.html?spm=a2g0o.cart.0.0.119738dagwbWYj&mp=1,"1,69",1,"1,69",,
mechanical switch 3 pin cliecky,"Outemu Switch Mechanical Keyboard Switch 3Pin Clicky Linear Tactile Silent Switches RGB LED SMD Gaming Compatible With MX Switch
",https://www.aliexpress.com/item/1005002378701948.html?spm=a2g0o.cart.0.0.119738dagwbWYj&mp=1,"0,33",10,"3,3",,
usb C to usb a Cabel,"1,5 metrer long cabel",https://www.aliexpress.com/item/1005010106650967.html?spm=a2g0o.productlist.main.1.68201f63hEhaKm&algo_pvid=cf431c73-7387-4845-bcfa-d95d4344b10f&pdp_ext_f=%7B%22order%22%3A%2240%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010106650967%7C_p_origin_prod%3A,"2,23",1,"2,23",,
aliexpress shiping,,,,,"10,93",,
,,,,,,,"25,46"
pcb,pcb from jlc it comes as 5 pcbs,none can compare the file on jlc website,2,1,2,,
jlc global shipping,shipping from jlc on global,,,,"3,3",,
,,,,,,,"30,76"
